input,target
Which subject does the course The Investment Banking Recruitment Series belong to?,Business Finance
Is the course The Investment Banking Recruitment Series free or paid?,paid
How many students are enrolled in The Investment Banking Recruitment Series?,17
Is The Investment Banking Recruitment Series suitable for beginners?,No
What is the price of the course The Investment Banking Recruitment Series?,40
What is the level of the course Business Banking 101?,All Levels
Which subject does the course Business Banking 101 belong to?,Business Finance
Is the course Business Banking 101 free or paid?,paid
How many students are enrolled in Business Banking 101?,132
Is Business Banking 101 suitable for beginners?,No
What is the price of the course Business Banking 101?,25
What is the level of the course CFA Level I Workshop 2: Financial Reporting & Analysis I ?,All Levels
Which subject does the course CFA Level I Workshop 2: Financial Reporting & Analysis I  belong to?,Business Finance
Is the course CFA Level I Workshop 2: Financial Reporting & Analysis I  free or paid?,paid
How many students are enrolled in CFA Level I Workshop 2: Financial Reporting & Analysis I ?,126
Is CFA Level I Workshop 2: Financial Reporting & Analysis I  suitable for beginners?,No
What is the price of the course CFA Level I Workshop 2: Financial Reporting & Analysis I ?,20
What is the level of the course Breakout Patterns Workshop by Pattern Trader?,All Levels
Which subject does the course Breakout Patterns Workshop by Pattern Trader belong to?,Business Finance
Is the course Breakout Patterns Workshop by Pattern Trader free or paid?,paid
How many students are enrolled in Breakout Patterns Workshop by Pattern Trader?,32
Is Breakout Patterns Workshop by Pattern Trader suitable for beginners?,No
What is the price of the course Breakout Patterns Workshop by Pattern Trader?,60
What is the level of the course Asset Protection Using Offshore Companies?,All Levels
Which subject does the course Asset Protection Using Offshore Companies belong to?,Business Finance
Is the course Asset Protection Using Offshore Companies free or paid?,paid
How many students are enrolled in Asset Protection Using Offshore Companies?,480
Is Asset Protection Using Offshore Companies suitable for beginners?,No
What is the price of the course Asset Protection Using Offshore Companies?,20
What is the level of the course Get Credit for Your EIN That's Not Linked to Your SSN?,Beginner Level
Which subject does the course Get Credit for Your EIN That's Not Linked to Your SSN belong to?,Business Finance
Is the course Get Credit for Your EIN That's Not Linked to Your SSN free or paid?,paid
How many students are enrolled in Get Credit for Your EIN That's Not Linked to Your SSN?,27
Is Get Credit for Your EIN That's Not Linked to Your SSN suitable for beginners?,Yes
What is the price of the course Get Credit for Your EIN That's Not Linked to Your SSN?,20
What is the level of the course Financial Translation?,Beginner Level
Which subject does the course Financial Translation belong to?,Business Finance
Is the course Financial Translation free or paid?,paid
How many students are enrolled in Financial Translation?,167
Is Financial Translation suitable for beginners?,Yes
What is the price of the course Financial Translation?,20
What is the level of the course How to Pick Stocks?,All Levels
Which subject does the course How to Pick Stocks belong to?,Business Finance
Is the course How to Pick Stocks free or paid?,paid
How many students are enrolled in How to Pick Stocks?,131
Is How to Pick Stocks suitable for beginners?,No
What is the price of the course How to Pick Stocks?,20
What is the level of the course Binary Beginners Mastery Strategy.?,Beginner Level
Which subject does the course Binary Beginners Mastery Strategy. belong to?,Business Finance
Is the course Binary Beginners Mastery Strategy. free or paid?,free
How many students are enrolled in Binary Beginners Mastery Strategy.?,927
Is Binary Beginners Mastery Strategy. suitable for beginners?,Yes
What is the price of the course Binary Beginners Mastery Strategy.?,0
What is the level of the course Accounting 101-Master Class for Understanding Business?,All Levels
Which subject does the course Accounting 101-Master Class for Understanding Business belong to?,Business Finance
Is the course Accounting 101-Master Class for Understanding Business free or paid?,paid
How many students are enrolled in Accounting 101-Master Class for Understanding Business?,37
Is Accounting 101-Master Class for Understanding Business suitable for beginners?,No
What is the price of the course Accounting 101-Master Class for Understanding Business?,20
What is the level of the course High-Frequency Trading & Dark Pools?,Beginner Level
Which subject does the course High-Frequency Trading & Dark Pools belong to?,Business Finance
Is the course High-Frequency Trading & Dark Pools free or paid?,paid
How many students are enrolled in High-Frequency Trading & Dark Pools?,19
Is High-Frequency Trading & Dark Pools suitable for beginners?,Yes
What is the price of the course High-Frequency Trading & Dark Pools?,40
What is the level of the course How To Crowdfund?,All Levels
Which subject does the course How To Crowdfund belong to?,Business Finance
Is the course How To Crowdfund free or paid?,paid
How many students are enrolled in How To Crowdfund?,43
Is How To Crowdfund suitable for beginners?,No
What is the price of the course How To Crowdfund?,30
What is the level of the course Financial Statement Fundamentals for Small Biz & Investors?,Beginner Level
Which subject does the course Financial Statement Fundamentals for Small Biz & Investors belong to?,Business Finance
Is the course Financial Statement Fundamentals for Small Biz & Investors free or paid?,paid
How many students are enrolled in Financial Statement Fundamentals for Small Biz & Investors?,751
Is Financial Statement Fundamentals for Small Biz & Investors suitable for beginners?,Yes
What is the price of the course Financial Statement Fundamentals for Small Biz & Investors?,30
What is the level of the course Master The Stock Market with practice?,All Levels
Which subject does the course Master The Stock Market with practice belong to?,Business Finance
Is the course Master The Stock Market with practice free or paid?,paid
How many students are enrolled in Master The Stock Market with practice?,49
Is Master The Stock Market with practice suitable for beginners?,No
What is the price of the course Master The Stock Market with practice?,35
What is the level of the course Introduction to Trade Theory (Technical Analysis) For Stocks?,Beginner Level
Which subject does the course Introduction to Trade Theory (Technical Analysis) For Stocks belong to?,Business Finance
